"slug","legal_name","brand_name","aliases","primary_category","categories","country_code","nigeria_presence","regulators","licence_types","regulatory_status","verification_status","website","source_urls","source_types","source_retrieved_at","logo_slug","added_at","updated_at"
"onward-insurance-brokers-l-t-d","Onward Insurance Brokers L.t.d","Onward Insurance Brokers L.t.d","RBC-469","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"opal-insurance-brokers","Opal Insurance Brokers Ltd","Opal Insurance Brokers","Opal Insurance Brokers Ltd|RBC-944","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"opay-digital-services","OPay Digital Services Limited","OPay","Opay Digital Services Limited|Paycom Nigeria Limited","mobile-money-operator","mobile-money-operator","NG","nigerian-company","CBN","Mobile money operator","active","officially-verified","https://www.opayweb.com/","https://www.cbn.gov.ng/PaymentsSystem/PSPs.html","regulator","2026-07-13","opay","2026-07-13","2026-07-13"
"open-space-financial-services","OPEN SPACE FINANCIAL SERVICES LTD","OPENSPACE","OPEN SPACE FINANCIAL SERVICES LTD|OPENSPACE","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"optimal-queen-emma-insurance-brokers-l-t-d","Optimal (Queen Emma) Insurance Brokers L.t.d","Optimal (Queen Emma) Insurance Brokers L.t.d","RBC-774","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"optimum-trust-insurance-brokers-l-t-d","Optimum Trust Insurance Brokers L.t.d","Optimum Trust Insurance Brokers L.t.d","RBC-572","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"optimus-bank","Optimus Bank Limited","Optimus Bank","Optimus Bank Limited","commercial-bank","commercial-bank","NG","nigerian-company","CBN","Commercial bank","active","officially-verified","","https://www.cbn.gov.ng/Out/2024/CCD/LIST%20OF%20DEPOSIT%20MONEY%20BANKS%20AS%20AT%2026TH%20APRIL%2C%202024%20%281%29.pdf","regulator","2026-07-13","","2026-07-13","2026-07-13"
"oracle-insurance-brokers","Oracle Insurance Brokers Ltd","Oracle Insurance Brokers","Oracle Insurance Brokers Ltd|RBC-573","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"orange-insurance-brokers","Orange Insurance Brokers Ltd","Orange Insurance Brokers","Orange Insurance Brokers Ltd|RBC-811","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"oratib-insurance-brokers","Oratib Insurance Brokers Ltd","Oratib Insurance Brokers","Oratib Insurance Brokers Ltd|RBC-799","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"oremus-insurance-brokers","Oremus Insurance Brokers Ltd","Oremus Insurance Brokers","Oremus Insurance Brokers Ltd|RBC-1002","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"oriwu-insurance-brokers-l-t-d","Oriwu Insurance Brokers L.t.d","Oriwu Insurance Brokers L.t.d","RBC-104","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"orthodox-insurance-brokers","Orthodox Insurance Brokers Ltd","Orthodox Insurance Brokers","Orthodox Insurance Brokers Ltd|RBC-705","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"parkcrowdy","PARKCROWDY NIGERIA LIMITED","OURPASS","OURPASS|PARKCROWDY NIGERIA LIMITED","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"ovvar","OVVAR NIGERIA LIMITED","OVVAR","OVVAR|OVVAR NIGERIA LIMITED","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"owofara-fintech-services","OWOFARA FINTECH SERVICES LIMITED","OWOAFARA.COM","OWOAFARA.COM|OWOFARA FINTECH SERVICES LIMITED","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"asoso-globa-tech","ASOSO GLOBA-TECH","OWOCREDIT","AJOMONI|ASOSO GLOBA-TECH|OWOCREDIT","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"singularity-technology","SINGULARITY TECHNOLOGY NIGERIA LIMITED","OXLOAN PRO","OXLOAN PRO|SINGULARITY TECHNOLOGY NIGERIA LIMITED","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"oxygen-x-finance-company","OXYGEN X FINANCE COMPANY LIMITED","OXYGEN X MOBILE APPLICATION","OXYGEN X FINANCE COMPANY LIMITED|OXYGEN X MOBILE APPLICATION|OXYGEN X WEB APPLICATION","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"oxymon-solutions","OXYMON SOLUTIONS LIMITED","OXYMON","OXYMON|OXYMON SOLUTIONS LIMITED","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"empathy-desk","EMPATHY DESK LIMITED","OYAKUDI","EMPATHY DESK LIMITED|KUSIVAULT|OYAKUDI","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"ragekay-global-investment","RAGEKAY GLOBAL INVESTMENT LIMITED","OYESCREDIT","OYESCREDIT|RAGEKAY GLOBAL INVESTMENT LIMITED","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"oyster-lending","OYSTER LENDING LIMITED","OYSTERLOAN","ADOLOAN|OYSTER LENDING LIMITED|OYSTERLOAN","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"p-r-a-insurance-brokers","P.R.A Insurance Brokers Ltd","P.R.A Insurance Brokers","P.R.A Insurance Brokers Ltd|RBC-1015","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"p2vest-technology","P2VEST TECHNOLOGY LIMITED","P2VEST","P2VEST|P2VEST TECHNOLOGY LIMITED","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"brightpulse-telecoms","BRIGHTPULSE TELECOMS LTD","PADICREDIT LOAN","BRIGHTPULSE TELECOMS LTD|DASHNAIRA LOAN|PADICREDIT LOAN","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"paga-remit","PAGA REMIT LIMITED","PAGA REMIT","PAGA REMIT LIMITED|PAGATECH LIMITED","remittance-imto","remittance-imto","NG","nigerian-company","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"pagatech","Pagatech Limited","Pagatech","Pagatech Limited","mobile-money-operator","mobile-money-operator","NG","nigerian-company","CBN","Mobile money operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/PSPs.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"pages-insurance-brokers-l-t-d","Pages Insurance Brokers L.t.d","Pages Insurance Brokers L.t.d","RBC-1058","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"blooms-microfinance-bank","BLOOMS MICROFINANCE BANK LIMITED","PAL LOAN","BLOOMS MICROFINANCE BANK LIMITED|PAL LOAN","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"perennial-finance","PERENNIAL FINANCE LIMITED","PALMCREDIT","PALMCREDIT|PERENNIAL FINANCE LIMITED","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"palmpay","PALMPAY LIMITED","PALMPAY","PALMPAY|PALMPAY AGENT|PALMPAY BUSSINESS|PalmPay Limited","digital-lender","digital-lender|mobile-money-operator","NG","nigerian-company","CBN|FCCPC","Digital money lender approval|Mobile money operator","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/|https://www.cbn.gov.ng/PaymentsSystem/PSPs.html","regulator|regulator","2026-07-13|2026-07-13","","2026-07-13","2026-07-13"
"palms-insurance-brokers","Palms Insurance Brokers Ltd","Palms Insurance Brokers","Palms Insurance Brokers Ltd|RBC-1241","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"pao-insurance-brokers-l-t-d","Pao Insurance Brokers L.t.d","Pao Insurance Brokers L.t.d","RBC-723","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"parallex-bank","Parallex Bank Limited","Parallex Bank","Parallex Bank Limited","commercial-bank","commercial-bank","NG","nigerian-company","CBN","Commercial bank","active","officially-verified","","https://www.cbn.gov.ng/Out/2024/CCD/LIST%20OF%20DEPOSIT%20MONEY%20BANKS%20AS%20AT%2026TH%20APRIL%2C%202024%20%281%29.pdf","regulator","2026-07-13","","2026-07-13","2026-07-13"
"paramount-edge-insurance-brokers","Paramount Edge Insurance Brokers Ltd","Paramount Edge Insurance Brokers","Paramount Edge Insurance Brokers Ltd|RBC-873","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"parkway-projects","Parkway Projects Limited","Parkway Projects","Parkway Projects Limited","mobile-money-operator","mobile-money-operator","NG","nigerian-company","CBN","Mobile money operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/PSPs.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"parthian-pensions","Parthian Pensions Limited","Parthian Pensions","Parthian Pensions Limited","pension-fund-administrator","pension-fund-administrator","NG","nigerian-company","PenCom","Pension fund administrator","active","officially-verified","","https://www.pencom.gov.ng/pension-fund-administrators/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"goharvest-international","GOHARVEST INTERNATIONAL LIMITED","PASA","BONZER LOAN|GOHARVEST INTERNATIONAL LIMITED|PASA|PASE CLUB","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"pasturelands-insurance-brokers","PASTURELANDS INSURANCE BROKERS LTD","PASTURELANDS INSURANCE BROKERS","PASTURELANDS INSURANCE BROKERS LTD|RBC-1096","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"pathway-insurance-brokers","PATHWAY INSURANCE BROKERS LIMITED","PATHWAY INSURANCE BROKERS","PATHWAY INSURANCE BROKERS LIMITED|RBC-1136","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"patmodit-insurance-brokers","Patmodit Insurance Brokers Ltd","Patmodit Insurance Brokers","Patmodit Insurance Brokers Ltd|RBC-14","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"paulmore-insurance-brokers","Paulmore Insurance Brokers Ltd","Paulmore Insurance Brokers","Paulmore Insurance Brokers Ltd|RBC-740","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"asharami-innovations","ASHARAMI INNOVATIONS LIMITED","PAY-MOBILE","ASHARAMI INNOVATIONS LIMITED|PAY-MOBILE","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"payattitude","Payattitude","Payattitude","","card-scheme","card-scheme","NG","nigerian-company","CBN","Card/payment scheme","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/PSPs.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"payaza-africa","Payaza Africa Limited","Payaza Africa","PAYAZA AFRICA LIMITED","payment-solution-service-provider","payment-solution-service-provider|remittance-imto","NG","nigerian-company","CBN","International money transfer operator|PSSP","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html|https://www.cbn.gov.ng/PaymentsSystem/PSPs.html","regulator|regulator","2026-07-13|2026-07-13","","2026-07-13","2026-07-13"
